sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
235425,https://sofifa.com/player/235425/derrick-jones/210002,D. Jones,Derrick Jones,23,3/3/1997,193,75,United States,Nashville SC,USA Major League Soccer,1,67,74,975000,2000,CDM,Left,1,3,2,High/High,Lean,No,1600000,,SUB,21,,5/8/2019,2020,,,70,51,59,62,62,79,,,,,,,,47,41,61,67,38,61,42,56,62,64,71,70,56,64,60,69,70,77,84,52,72,67,58,60,66,60,,61,57,7,5,15,8,14,60+2,60+2,60+2,59+0,61+0,61+0,61+0,59+0,61+2,61+2,61+2,61+2,63+2,63+2,63+2,61+2,63+2,66+2,66+2,66+2,63+2,63+2,66+2,66+2,66+2,63+2
202162,https://sofifa.com/player/202162/jalil-anibaba/210002,J. Anibaba,Jalil Anibaba,31,10/19/1988,183,77,United States,Nashville SC,USA Major League Soccer,1,67,67,575000,3000,"CB, LB",Right,1,3,2,Medium/Medium,Lean,No,834000,,SUB,3,,11/19/2019,2024,,,57,44,55,53,67,74,,,,,,,Giant Throw-in,58,29,65,61,39,47,50,45,57,54,51,62,65,66,61,68,75,72,77,56,69,68,36,43,43,58,,64,65,8,9,8,11,8,52+2,52+2,52+2,51+0,50+0,50+0,50+0,51+0,51+2,51+2,51+2,53+2,55+2,55+2,55+2,53+2,63+2,63+2,63+2,63+2,63+2,64+2,67+0,67+0,67+0,64+2
229879,https://sofifa.com/player/229879/dave-romney/210002,D. Romney,David Romney,27,6/12/1993,188,79,United States,Nashville SC,USA Major League Soccer,1,66,68,675000,2000,"CB, LB, RB",Left,1,3,2,Medium/High,Normal,No,1000000,,LCB,4,,11/12/2019,2025,,,59,32,57,60,65,72,,,,,,,Power Header,59,24,66,61,35,61,54,34,61,61,60,59,53,62,50,52,76,69,73,24,70,64,50,52,35,64,,66,63,9,12,8,5,14,51+2,51+2,51+2,54+0,53+0,53+0,53+0,54+0,54+2,54+2,54+2,57+2,58+2,58+2,58+2,57+2,63+2,64+2,64+2,64+2,63+2,63+2,66+2,66+2,66+2,63+2
221656,https://sofifa.com/player/221656/eric-miller/210002,E. Miller,Eric Miller,27,1/15/1993,183,79,United States,Nashville SC,USA Major League Soccer,1,66,67,650000,2000,"RB, LB, LWB",Right,1,3,2,Medium/High,Lean,No,991000,,SUB,15,,11/26/2019,2020,,,75,37,53,59,62,68,,,,,,,,60,31,54,60,30,57,33,39,52,60,72,78,66,63,56,44,81,74,63,39,72,60,62,42,42,54,,63,60,9,16,7,14,7,53+2,53+2,53+2,57+0,55+0,55+0,55+0,57+0,55+2,55+2,55+2,59+2,56+2,56+2,56+2,59+2,64+2,61+2,61+2,61+2,64+2,64+2,63+2,63+2,63+2,64+2
227998,https://sofifa.com/player/227998/dominique-badji/210002,D. Badji,Dominique Badji,27,10/16/1992,183,79,Senegal,Nashville SC,USA Major League Soccer,1,66,67,750000,3000,"ST, LM",Left,1,2,3,Medium/Low,Normal,No,1100000,,ST,9,,12/2/2019,2020,,,77,62,47,66,38,74,,,,,,,,44,65,71,59,52,67,39,39,24,66,74,80,67,64,62,66,84,75,76,53,65,19,62,52,61,61,,39,34,15,10,8,10,11,66+1,66+1,66+1,63+0,64+0,64+0,64+0,63+0,61+2,61+2,61+2,61+2,54+2,54+2,54+2,61+2,51+2,47+2,47+2,47+2,51+2,51+2,50+2,50+2,50+2,51+2
202215,https://sofifa.com/player/202215/joe-willis/210002,J. Willis,Joe Willis,31,8/10/1988,196,84,United States,Nashville SC,USA Major League Soccer,1,66,66,425000,2000,GK,Left,1,3,1,Medium/Medium,Normal,No,616000,,GK,1,,11/19/2019,2021,,,,,,,,,68,65,60,65,46,68,,13,8,12,34,13,13,14,13,38,15,47,46,52,60,55,45,72,26,71,16,31,24,13,35,22,46,,12,10,68,65,60,68,65,26+2,26+2,26+2,25+0,26+0,26+0,26+0,25+0,27+2,27+2,27+2,26+2,28+2,28+2,28+2,26+2,25+2,28+2,28+2,28+2,25+2,24+2,27+2,27+2,27+2,24+2
237983,https://sofifa.com/player/237983/miguel-nazarit/210002,M. Nazarit,Miguel Ángel Nazarit Mina,22,5/6/1998,186,78,Colombia,Nashville SC,USA Major League Soccer,1,63,73,550000,1000,CB,Right,1,3,2,Medium/Medium,Lean,No,908000,,SUB,5,,1/1/2020,2021,,,67,29,33,45,62,78,,,,,,,,29,25,60,35,30,39,25,28,33,45,74,61,60,58,53,41,79,66,84,20,79,65,31,35,43,48,,62,60,7,9,5,12,10,44+2,44+2,44+2,41+0,41+0,41+0,41+0,41+0,40+2,40+2,40+2,43+2,42+2,42+2,42+2,43+2,54+2,54+2,54+2,54+2,54+2,56+2,63+2,63+2,63+2,56+2
237253,https://sofifa.com/player/237253/abu-danladi/210002,A. Danladi,Abu Danladi,24,10/18/1995,178,77,Ghana,Nashville SC,USA Major League Soccer,1,63,70,525000,2000,"ST, RM",Right,1,4,2,Medium/Medium,Normal,No,866000,,SUB,7,,11/19/2019,2023,,,77,63,54,64,39,63,,,,,,,,48,61,56,65,54,65,56,41,47,60,77,77,78,59,64,74,71,64,62,59,64,35,60,49,59,55,,38,36,10,14,7,6,12,63+2,63+2,63+2,62+0,63+0,63+0,63+0,62+0,61+2,61+2,61+2,61+2,56+2,56+2,56+2,61+2,52+2,50+2,50+2,50+2,52+2,51+2,49+2,49+2,49+2,51+2
227911,https://sofifa.com/player/227911/randall-leal/210002,R. Leal,Randall Enrique Leal Arley,23,1/14/1997,169,66,Costa Rica,Nashville SC,USA Major League Soccer,1,63,69,500000,2000,RM,Right,1,3,3,Medium/Medium,Lean,No,825000,,SUB,8,,1/1/2020,2020,,,67,55,64,68,35,41,,,,,,,,67,45,42,64,50,66,54,62,65,67,69,65,75,57,88,73,48,52,33,63,47,30,55,62,44,52,,38,35,13,15,12,7,16,56+2,56+2,56+2,62+0,61+0,61+0,61+0,62+0,62+2,62+2,62+2,62+2,59+2,59+2,59+2,62+2,52+2,49+2,49+2,49+2,52+2,49+2,41+2,41+2,41+2,49+2
231987,https://sofifa.com/player/231987/taylor-washington/210002,T. Washington,Taylor Washington,26,8/16/1993,178,77,United States,Nashville SC,USA Major League Soccer,1,63,64,375000,2000,LB,Left,1,2,2,Low/High,Normal,No,572000,,RES,23,,11/22/2019,2021,,,74,25,41,37,63,55,,,,,,,,51,22,54,55,20,20,28,23,29,52,74,74,49,66,66,32,73,55,58,24,42,62,27,25,37,43,,67,58,10,11,12,12,14,41+2,41+2,41+2,43+0,40+0,40+0,40+0,43+0,40+2,40+2,40+2,45+2,43+2,43+2,43+2,45+2,58+2,55+2,55+2,55+2,58+2,61+2,60+2,60+2,60+2,61+2
235184,https://sofifa.com/player/235184/daniel-rios/210002,D. Ríos,Daniel Armando Ríos Calderón,25,2/22/1995,184,84,Mexico,Nashville SC,USA Major League Soccer,1,59,64,210000,2000,ST,Right,1,3,2,Medium/Medium,Normal,No,320000,,SUB,14,,1/1/2020,2020,,,52,64,41,56,25,61,,,,,,,,31,68,62,54,62,55,33,29,26,62,50,54,52,46,54,63,62,56,64,64,58,21,51,45,46,49,,23,21,9,13,14,9,13,59+2,59+2,59+2,53+0,56+0,56+0,56+0,53+0,53+2,53+2,53+2,51+2,47+2,47+2,47+2,51+2,39+2,39+2,39+2,39+2,39+2,37+2,38+2,38+2,38+2,37+2
258941,https://sofifa.com/player/258941/alan-winn/210002,A. Winn,Alan Winn,24,2/18/1996,178,75,United States,Nashville SC,USA Major League Soccer,1,59,62,200000,1000,"LM, LW, ST",Left,1,3,2,High/Medium,Normal,No,305000,,SUB,16,,11/22/2019,2020,,,66,53,54,60,26,52,,,,,,,,63,59,34,64,39,62,41,34,42,62,64,67,54,39,67,52,45,51,55,40,48,21,62,45,50,41,,26,27,7,7,12,10,12,55+2,55+2,55+2,59+0,57+0,57+0,57+0,59+0,56+2,56+2,56+2,58+2,50+2,50+2,50+2,58+2,46+2,41+2,41+2,41+2,46+2,42+2,36+2,36+2,36+2,42+2
255177,https://sofifa.com/player/255177/brian-anunga/210002,B. Anunga,Brian Anunga,23,8/10/1996,180,81,Cameroon,Nashville SC,USA Major League Soccer,1,57,63,140000,1000,"CM, CDM",Right,1,4,3,High/High,Normal,No,231000,,SUB,27,,1/15/2020,2020,,,64,40,58,54,48,58,,,,,,,Playmaker (AI),49,35,37,65,42,45,47,37,62,64,63,65,60,58,61,48,59,41,75,38,37,59,61,59,46,55,,37,48,13,9,9,13,14,52+2,52+2,52+2,55+0,55+0,55+0,55+0,55+0,57+2,57+2,57+2,56+2,57+2,57+2,57+2,56+2,54+2,56+2,56+2,56+2,54+2,53+2,52+2,52+2,52+2,53+2
256107,https://sofifa.com/player/256107/alistair-johnston/210002,A. Johnston,Alistair Johnston,21,10/8/1998,180,77,Canada,Nashville SC,USA Major League Soccer,1,56,68,160000,1000,"RM, CDM",Right,1,3,2,High/High,Lean,No,264000,,RM,12,,2/25/2020,2024,,,76,41,51,56,43,55,,,,,,,,51,39,47,55,34,55,43,37,54,53,77,75,71,54,64,48,62,51,60,37,48,44,54,47,49,41,,48,49,8,9,14,11,11,51+2,51+2,51+2,55+0,53+0,53+0,53+0,55+0,53+2,53+2,53+2,55+2,51+2,51+2,51+2,55+2,52+2,49+2,49+2,49+2,52+2,52+2,49+2,49+2,49+2,52+2
256111,https://sofifa.com/player/256111/elliot-panicco/210002,E. Panicco,Elliot Panicco,23,11/18/1996,196,93,United States,Nashville SC,USA Major League Soccer,1,53,63,80000,800,GK,Right,1,3,1,Medium/Medium,Normal,No,132000,,SUB,30,,2/25/2020,2024,,,,,,,,,56,52,52,60,28,53,,10,8,11,26,5,12,11,14,29,14,29,28,32,30,27,39,30,18,73,9,24,9,4,37,15,31,,12,10,56,52,52,53,60,19+2,19+2,19+2,18+0,19+0,19+0,19+0,18+0,21+2,21+2,21+2,19+2,21+2,21+2,21+2,19+2,16+2,21+2,21+2,21+2,16+2,16+2,20+2,20+2,20+2,16+2
256106,https://sofifa.com/player/256106/luke-haakenson/210002,L. Haakenson,Luke Haakenson,22,9/10/1997,178,79,United States,Nashville SC,USA Major League Soccer,1,53,62,90000,1000,CAM,Right,1,3,2,High/Medium,Normal,No,149000,,SUB,26,,2/25/2020,2024,,,78,39,55,54,36,54,,,,,,,,47,37,41,62,40,52,42,41,58,49,80,77,72,47,65,47,55,48,61,30,42,21,46,56,47,53,,40,44,6,8,7,14,11,49+2,49+2,49+2,53+0,51+0,51+0,51+0,53+0,53+2,53+2,53+2,54+2,50+2,50+2,50+2,54+2,47+2,46+2,46+2,46+2,47+2,47+2,43+2,43+2,43+2,47+2
202220,https://sofifa.com/player/202220/cj-sapong/210002,C. Sapong,Charles Kwabena Sapong,31,12/27/1988,185,84,United States,Chicago Fire,USA Major League Soccer,1,70,70,1600000,5000,"ST, LM",Right,1,3,3,Medium/Medium,Normal,No,2300000,,SUB,9,,2/23/2019,2020,,,74,67,58,67,40,81,,,,,,,,51,72,72,61,63,67,50,46,52,67,76,73,69,66,62,75,90,76,83,49,80,34,71,68,67,65,,46,36,6,15,15,12,10,70+0,70+0,70+0,66+0,68+0,68+0,68+0,66+0,66+2,66+2,66+2,66+2,62+2,62+2,62+2,66+2,54+2,54+2,54+2,54+2,54+2,53+2,54+2,54+2,54+2,53+2
246732,https://sofifa.com/player/246732/ake-loba/210002,A. Loba,Ake Arnaud Loba,22,4/1/1998,179,72,Ivory Coast,Monterrey,Mexican Liga MX,1,69,77,1600000,17000,ST,Right,1,3,3,High/Low,Normal,No,2900000,,LS,10,,1/15/2020,2022,,,80,67,57,70,24,70,,,,,,,"Speed Dribbler (AI), Technical Dribbler (AI)",51,69,62,67,57,69,45,41,53,68,83,78,82,63,66,72,72,74,73,59,55,20,69,57,72,62,,19,16,7,7,7,8,13,69+2,69+2,69+2,67+0,68+0,68+0,68+0,67+0,67+2,67+2,67+2,67+2,59+2,59+2,59+2,67+2,49+2,46+2,46+2,46+2,49+2,45+2,41+2,41+2,41+2,45+2
